SightingID,UserID
1,71
2,93
2,64
3,91
3,104
4,101
4,15
5,75
5,24
5,31
6,98
6,61
6,59
7,7
7,90
7,103
8,68
8,67
9,35
10,97
10,85
11,72
11,20
12,61
12,100
13,54
13,28
13,63
14,40
15,88
15,92
16,81
16,106
17,26
17,36
18,24
18,13
19,17
19,77
19,16
20,51
20,89
20,82
21,28
22,16
23,69
24,52
25,78
25,9
25,46
26,67
27,18
27,46
28,93
28,12
28,95
29,30
29,33
30,43
30,37
31,67
32,82
32,15
33,110
34,36
35,37
35,36
36,9
36,44
37,93
37,87
38,78
39,22
39,99
39,23
40,63
41,9
42,83
42,59
42,5
43,51
44,43
44,104
44,44
45,41
46,13
46,88
47,27
47,77
47,30
48,68
49,33
49,78
49,9
50,10
50,27
50,71
51,27
52,56
52,84
53,44
53,14
53,19
54,3
55,101
55,45
56,78
57,52
57,61
57,27
58,46
58,26
58,44
59,101
59,13
60,63
61,103
61,22
62,23
62,38
62,72
63,2
63,45
63,94
64,60
65,60
66,23
67,72
67,56
67,105
68,95
68,16
68,97
69,78
69,10
69,15
70,17
71,60
71,33
71,93
72,61
73,69
73,10
73,97
74,86
74,72
75,10
75,106
76,107
77,78
78,39
78,42
78,65
79,74
79,82
80,100
81,19
82,77
82,40
83,36
83,16
84,98
85,7
85,88
85,57
86,3
86,92
86,69
87,71
87,32
88,2
88,107
88,96
89,51
90,84
91,53
92,87
92,7
93,89
93,105
93,33
94,75
94,28
95,51
95,4
95,13
96,5
96,52
96,47
97,26
98,34
99,17
99,4
99,70
100,8
100,29
100,55
101,13
101,81
101,106
102,100
102,39
102,103
103,77
103,36
104,103
105,32
106,99
106,30
106,58
107,26
108,68
108,39
109,61
109,89
109,15
110,99
110,89
110,5
111,49
112,96
112,44
113,31
113,16
113,21
114,68
114,2
114,45
115,33
116,22
117,6
118,8
119,81
120,61
120,42
120,72
121,62
121,80
122,92
122,30
122,14
123,44
123,57
124,97
124,109
125,81
125,23
125,3
126,30
126,20
126,59
127,44
127,38
128,20
128,81
128,48
129,62
130,110
130,77
131,29
131,44
131,84
132,19
133,87
133,99
134,41
134,1
135,91
136,40
136,75
137,95
138,5
139,10
139,23
139,72
140,1
140,83
140,3
141,79
141,70
141,45
142,68
143,42
143,77
144,31
144,19
144,17
145,86
146,34
147,51
147,80
148,110
148,29
149,39
149,57
149,13
150,47
151,60
151,39
152,78
153,81
153,27
153,84
154,37
154,46
154,62
155,50
155,1
156,79
157,109
158,15
159,32
159,53
160,14
160,44
161,86
161,19
162,25
162,95
162,21
163,50
163,94
164,48
164,43
164,94
165,90
165,41
166,30
167,61
168,76
168,10
168,103
169,54
169,2
170,99
170,94
171,33
171,58
172,73
172,33
173,32
173,105
173,107
174,11
175,50
176,57
177,104
177,104
177,79
178,57
179,22
179,46
179,92
180,29
181,46
181,62
181,14
182,38
182,50
182,17
183,82
183,28
183,86
184,90
184,82
184,58
185,78
186,90
186,85
187,58
187,67
188,38
188,64
188,29
189,29
189,78
190,62
190,64
191,73
191,79
192,87
193,103
193,6
193,59
194,37
194,27
194,35
195,80
195,74
196,69
196,97
197,26
197,93
198,10
198,49
198,77
199,49
200,68
200,96
201,59
201,105
201,110
202,84
202,13
203,25
203,72
204,88
205,70
205,47
206,35
206,48
206,101
207,45
208,32
208,9
209,51
210,27
210,64
210,94
211,61
211,51
211,16
212,101
213,109
214,77
214,82
215,81
216,83
217,49
218,26
219,20
219,62
220,90
220,86
220,5
221,73
221,101
221,19
222,96
222,50
223,102
223,4
223,33
224,80
224,17
225,60
226,56
226,49
227,5
227,101
228,30
229,25
229,107
229,105
230,75
231,13
231,64
231,75
232,92
232,5
233,44
233,10
234,31
234,103
234,79
235,90
235,17
236,27
237,41
238,78
238,46
238,86
239,66
240,104
240,71
241,24
242,27
242,51
242,13
243,93
244,84
244,102
245,46
245,77
245,78
246,19
247,65
247,63
247,68
248,109
249,23
249,23
250,64
250,73
250,33
251,68
252,95
253,21
253,101
254,12
255,84
255,23
255,82
256,43
256,8
257,67
257,65
257,5
258,88
258,65
258,11
259,2
259,28
259,108
260,80
260,55
261,57
261,19
262,50
262,17
263,65
264,14
264,71
264,25
265,23
266,63
266,100
266,83
267,42
267,72
268,59
268,31
268,92
269,14
270,29
271,61
271,110
272,47
272,2
272,25
273,72
273,34
274,96
274,78
275,77
275,62
276,91
276,66
277,96
278,27
279,39
279,109
279,14
280,56
281,103
281,14
281,110
282,56
283,1
283,40
283,16
284,97
284,55
284,82
285,15
286,45
287,3
287,105
287,86
288,103
288,7
289,93
290,102
290,92
290,75
291,54
292,82
292,66
292,52
293,31
293,11
294,49
294,41
294,74
295,7
296,110
297,66
297,12
297,53
298,41
298,44
299,15
299,53
300,65
300,90
300,103
